1, -3.25827e-11
2, -3.26811e-11
3, -3.28754e-11
4, -3.31673e-11
5, -3.35588e-11
6, -3.40529e-11
7, -3.46537e-11
8, -3.53659e-11
9, -3.61954e-11
10, -3.71494e-11
11, -3.82361e-11
12, -3.94657e-11
13, -4.08499e-11
14, -4.24027e-11
15, -4.41404e-11
16, -4.60826e-11
17, -4.82524e-11
18, -5.06774e-11
19, -5.33908e-11
20, -5.64324e-11
21, -5.98511e-11
22, -6.37066e-11
23, -6.80731e-11
24, -7.30434e-11
25, -7.87357e-11
26, -8.53022e-11
27, -9.29428e-11
28, -1.01924e-10
29, -1.12612e-10
30, -1.2552e-10
31, -1.41394e-10
32, -1.61359e-10
33, -1.87205e-10
34, -2.21961e-10
35, -2.71237e-10
36, -3.46784e-10
37, -4.77862e-10
38, -7.55302e-10
39, -1.53637e-09
40, -4.55211e-09
41, -1.53594e-09
42, -7.54441e-10
43, -4.76569e-10
44, -3.45056e-10
45, -2.69071e-10
46, -2.19351e-10
47, -1.84146e-10
48, -1.57844e-10
49, -1.37416e-10
50, -1.21071e-10
51, -1.07682e-10
52, -9.65031e-11
53, -8.70184e-11
54, -7.8862e-11
55, -7.17656e-11
56, -6.55284e-11
57, -5.99969e-11
58, -5.50517e-11
59, -5.05985e-11
60, -4.65617e-11
61, -4.28801e-11
62, -3.95035e-11
63, -3.63902e-11
64, -3.35055e-11
65, -3.08198e-11
66, -2.83082e-11
67, -2.59492e-11
68, -2.37241e-11
69, -2.16167e-11
70, -1.96128e-11
71, -1.76997e-11
72, -1.58663e-11
73, -1.41023e-11
74, -1.23987e-11
75, -1.07471e-11
76, -9.13965e-12
77, -7.56933e-12
78, -6.0294e-12
79, -4.51348e-12
80, 0
